vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,load_estimation,driver_ids,engine_hours
1207352518380617728,1785918989000-1205841794575630336-1207352518380617728,1785918989000,1785937520000,1,116.671,42.516,2.7441669018722368,1205841794575630336,1785918989000,1207352518380617728,OD08X4596,18531000,1785937520000,112.24105292586594,116.671,42.515550350706796,2.744195924493317,42.515550350706796,1785918989000-1205841794575630336-1207352518380617728,120.14499999998952,,,0.0
1207355284746403840,1785919695000-1205841794575630336-1207355284746403840,1785919695000,1785932409000,1,114.589,31.053,3.69011045631662,1205841794575630336,1785919695000,1207355284746403840,OD10AA3909,12714000,1785932409000,81.98088650965613,114.589,31.053366102142473,3.6900669519396847,31.053366102142473,1785919695000-1205841794575630336-1207355284746403840,117.55499999999302,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785936683864}",,0.0
1207354467398189056,1785894533000-1205841794575630336-1207354467398189056,1785894533000,1785909355000,1,113.561,24.487,4.637603626414016,1205841794575630336,1785894533000,1207354467398189056,OD08W5721,14822000,1785909355000,64.64495759711004,113.561,24.48672636254168,4.63765545131091,24.48672636254168,1785894533000-1205841794575630336-1207354467398189056,115.0,"{'confidence': 65.4, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 11499.040132743283, 'std': 2107.118647021874, 'timestamp': 1785924829642}",,0.0
1341890676589068288,1785919640000-1205841794575630336-1341890676589068288,1785919640000,1785927765000,1,112.698,8.956,12.583519428316212,1205841794575630336,1785919640000,1341890676589068288,OD05BV5915TV,8125000,1785927765000,23.644520441463474,112.698,8.956257742978588,12.583157300084572,8.956257742978588,1785919640000-1205841794575630336-1341890676589068288,112.45999999999185,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785944137234}",,2.2540422222222225
1262076027933294592,1785917659000-1205841794575630336-1262076027933294592,1785917659000,1785934380000,1,111.619,18.193,6.135271807838179,1205841794575630336,1785917659000,1262076027933294592,OD15Y6343,16721000,1785934380000,48.03017868426936,111.619,18.19324950161718,6.13518766892513,18.19324950161718,1785917659000-1205841794575630336-1262076027933294592,115.39999999999418,"{'confidence': 64.1, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 6876.203348369815, 'std': 1560.5646600748682, 'timestamp': 1785952672394}",,0.0
1262095205893406720,1785896616000-1205841794575630336-1262095205893406720,1785896616000,1785911080000,1,110.913,20.419,5.431852686223615,1205841794575630336,1785896616000,1262095205893406720,OD23Q8767,14464000,1785911080000,53.906125458701844,110.913,20.41898691617494,5.431856166778776,20.41326394224506,1785896616000-1205841794575630336-1262095205893406720,115.29999999998836,"{'confidence': 37.6, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5259.095495348745, 'std': 1737.313702482205, 'timestamp': 1785956380900}",,0.0
1262099826342887424,1785921165000-1205841794575630336-1262099826342887424,1785921165000,1785937016000,1,109.424,20.858,5.246140569565634,1205841794575630336,1785921165000,1262099826342887424,OD17AB5424,15851000,1785937016000,55.06436732526114,109.424,20.857714895932247,5.246212279051734,20.857714895932247,1785921165000-1205841794575630336-1262099826342887424,115.0,,,0.0
1262066070110339072,1785889797000-1205841794575630336-1262066070110339072,1785889797000,1785905526000,1,108.192,18.398,5.880639199913034,1205841794575630336,1785889797000,1262066070110339072,OD27D5002,15729000,1785905526000,48.57163963252556,108.192,18.39834834565362,5.880527858662868,18.39834834565362,1785889797000-1205841794575630336-1262066070110339072,113.10000000000582,"{'confidence': 55.9, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 7278.3426073569835, 'std': 2316.0266671719746, 'timestamp': 1785946970774}",,0.0
1207336641052540928,1785894702000-1205841794575630336-1207336641052540928,1785894702000,1785907976000,1,106.775,18.16,5.879680616740089,1205841794575630336,1785894702000,1207336641052540928,OD30F2048,13274000,1785907976000,47.942656876826355,106.775,18.160097301828163,5.87964911340266,18.160097301828163,1785894702000-1205841794575630336-1207336641052540928,111.0,"{'confidence': 43.7, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14547.39311017231, 'std': 3273.4265715594897, 'timestamp': 1785976930543}",,0.0
1207340533945466880,1785895273000-1205841794575630336-1207340533945466880,1785895273000,1785904736000,1,106.513,22.202,4.797450680118908,1205841794575630336,1785895273000,1207340533945466880,OD20C5811,9463000,1785904736000,58.61221791186824,106.513,22.201597693889486,4.797537612768987,22.201597693889486,1785895273000-1205841794575630336-1207340533945466880,108.0,"{'confidence': 81.2, 'count': 11, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 10429.806079142407, 'std': 1302.0632832736055, 'timestamp': 1785964990818}",,0.0
1207350892068601856,1785890021000-1205841794575630336-1207350892068601856,1785890021000,1785901910000,1,106.206,29.355,3.6179867143587123,1205841794575630336,1785890021000,1207350892068601856,OD08W4631,11889000,1785901910000,77.49637690015491,106.206,29.354688219755648,3.6180251415010285,29.354688219755648,1785890021000-1205841794575630336-1207350892068601856,109.86000000000058,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785923485478}",,0.0
1262397961501933568,1785916260000-1205841794575630336-1262397961501933568,1785916260000,1785934066000,1,105.964,20.633,5.135656472640915,1205841794575630336,1785916260000,1262397961501933568,OD11AE3443,17806000,1785934066000,54.470989025213754,105.964,20.632950388338543,5.135668821260259,20.632950388338543,1785916260000-1205841794575630336-1262397961501933568,113.125,,,4.899999999999636
1207339563534516224,1785889742000-1205841794575630336-1207339563534516224,1785889742000,1785900531000,1,105.552,14.6,7.229589041095891,1205841794575630336,1785889742000,1207339563534516224,OD20C5868,10789000,1785900531000,38.5435077338221,105.552,14.599813535538676,7.229681375249533,14.599813535538676,1785889742000-1205841794575630336-1207339563534516224,109.0,"{'confidence': 73.6, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 8378.482797199988, 'std': 989.3051784738943, 'timestamp': 1785929175041}",,0.0
1207324802503671808,1785902100000-1205841794575630336-1207324802503671808,1785902100000,1785915764000,1,105.534,25.415,4.152429667519182,1205841794575630336,1785902100000,1207324802503671808,OD30F1965,13664000,1785915764000,67.09430324738125,105.534,25.414508805826227,4.152509922828276,25.414508805826223,1785902100000-1205841794575630336-1207324802503671808,109.0,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 16840.675013114174, 'std': 5107.092219539825, 'timestamp': 1785966809344}",,0.0
1207345693178462208,1785890025000-1205841794575630336-1207345693178462208,1785890025000,1785904039000,1,104.33,19.844,5.257508566821205,1205841794575630336,1785890025000,1207345693178462208,OD24J9586,14014000,1785904039000,52.38759855385012,104.33,19.84378733100383,5.257564912369089,19.84378733100383,1785890025000-1205841794575630336-1207345693178462208,107.0,"{'confidence': 47.3, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 7126.8423754092455, 'std': 1500.9656597340781, 'timestamp': 1786002770242}",,0.0
1207338261337341952,1785906752000-1205841794575630336-1207338261337341952,1785906752000,1785917745000,1,104.318,18.397,5.67038104038702,1205841794575630336,1785906752000,1207338261337341952,OD20C5801,10993000,1785917745000,48.568557202255136,104.318,18.397180758429975,5.6703253270042095,18.397180758429975,1785906752000-1205841794575630336-1207338261337341952,108.0,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 4553.036360148182, 'std': 1922.21643751187, 'timestamp': 1785930531935}",,0.0
1262053293035618304,1785888713000-1205841794575630336-1262053293035618304,1785888713000,1785904272000,1,104.122,20.845,4.99505876709043,1205841794575630336,1785888713000,1262053293035618304,OD26G3691,15559000,1785904272000,55.03100145946968,104.122,20.84507631040518,4.9950404809996165,20.84507631040518,1785888713000-1205841794575630336-1262053293035618304,109.30000000001746,"{'confidence': 46.2, 'count': 9, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5093.154884621755, 'std': 1643.8554935007378, 'timestamp': 1785946589517}",,0.0
1207345693178462208,1785920472000-1205841794575630336-1207345693178462208,1785920472000,1785934196000,1,104.056,19.741,5.271060229978218,1205841794575630336,1785920472000,1207345693178462208,OD24J9586,13724000,1785934196000,52.11537272876436,104.056,19.740671488168317,5.271147947645375,19.740671488168317,1785920472000-1205841794575630336-1207345693178462208,107.0,,,0.0
