vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,engine_hours,active_driver,driver_ids
1537213879656906752,1785174614000-642689989225816064-1537213879656906752,1785174614000,1785188815000,1,198.328,57.03,3.4776082763457827,642689989225816064,1785174614000,1537213879656906752,MP09BN1073,14201000,1785188815000,150.55908964315483,57.02995819816471,196.60000000000582,57.02995819816471,1785174614000-642689989225816064-1537213879656906752,198.328,3.4776108253641054,3.885555555555584,,
1533070673256120320,1785124014000-642689989225816064-1533070673256120320,1785124014000,1785138936000,1,198.142,60.871,3.2551132723300094,642689989225816064,1785124014000,1533070673256120320,MP09BQ7694,14922000,1785138936000,160.6994845539305,60.87101687648882,194.53499999999622,60.729400710490765,1785124014000-642689989225816064-1533070673256120320,198.1420000000006,3.255112369849897,3.515277777777783,,
1326601969871093760,1785110896000-642689989225816064-1326601969871093760,1785110896000,1785126392000,1,197.891,55.644,3.5563762490115733,642689989225816064,1785110896000,1326601969871093760,MP09BN3893,15496000,1785126392000,146.90094430973465,55.6442970870207,194.13999999999942,55.6442970870207,1785110896000-642689989225816064-1326601969871093760,197.891,3.5563572613833774,3.9430555555554747,,
721681431436197888,1785160102000-642689989225816064-721681431436197888,1785160102000,1785175094000,1,197.66,55.042,3.591075905672032,642689989225816064,1785160102000,721681431436197888,MP09AW1619,14992000,1785175094000,145.31127721285435,55.04215045941453,,55.04215045941453,1785160102000-642689989225816064-721681431436197888,197.66,3.591066089355377,0.0,869927971870212103,['869927971870212103']
1537194706461523968,1785129042000-642689989225816064-1537194706461523968,1785129042000,1785144144000,1,197.163,63.291,3.115182253400958,642689989225816064,1785129042000,1537194706461523968,MP09BN3822,15102000,1785144144000,167.0882551928362,63.291005754862184,,63.291005754862184,1785129042000-642689989225816064-1537194706461523968,197.163,3.1151819701467365,4.15777777777771,,
1326601969871093760,1785127895000-642689989225816064-1326601969871093760,1785127895000,1785141677000,1,197.135,58.062,3.395249905273673,642689989225816064,1785127895000,1326601969871093760,MP09BN3893,13782000,1785141677000,153.28478393475368,58.062418157103664,,58.062418157103664,1785127895000-642689989225816064-1326601969871093760,197.135,3.3952254531769177,3.790277777777874,,
1326601875818020864,1785127541000-642689989225816064-1326601875818020864,1785127541000,1785140949000,1,197.089,60.359,3.2652794115210657,642689989225816064,1785127541000,1326601875818020864,MP09BN1094,13408000,1785140949000,159.34787502367888,60.359043569575334,195.5,60.359043569575334,1785127541000-642689989225816064-1326601875818020864,197.089,3.2652770545115954,3.668333333333294,,
1537213879656906752,1785133315000-642689989225816064-1537213879656906752,1785133315000,1785148394000,1,197.072,58.554,3.365645387163985,642689989225816064,1785133315000,1537213879656906752,MP09BN1073,15079000,1785148394000,154.5835287257331,58.55436694156556,195.24000000000524,58.55436694156556,1785133315000-642689989225816064-1537213879656906752,197.072,3.3656242957364455,4.13972222222219,,
1326602160833560576,1785144777000-642689989225816064-1326602160833560576,1785144777000,1785160504000,1,197.056,62.905,3.1325967729115334,642689989225816064,1785144777000,1326602160833560576,MP09DT3645,15727000,1785160504000,166.0700967457948,62.90533967643742,194.43999999994412,62.90533967643742,1785144777000-642689989225816064-1326602160833560576,197.056,3.1325798575063044,4.340277777777374,,
1537194706461523968,1785111744000-642689989225816064-1537194706461523968,1785111744000,1785127547000,1,196.746,64.414,3.054398112211631,642689989225816064,1785111744000,1537194706461523968,MP09BN3822,15803000,1785127547000,170.05292485924173,64.41398668910671,196.5,64.41398668910671,1785111744000-642689989225816064-1537194706461523968,196.746,3.054398743390812,4.309999999999945,,
1557834733679804416,1785145708000-642689989225816064-1557834733679804416,1785145708000,1785161204000,1,196.095,50.977,3.846734801969516,642689989225816064,1785145708000,1557834733679804416,MP09BQ8967,15496000,1785161204000,134.58024267091767,50.97736464807487,193.3050000000003,50.97736464807487,1785145708000-642689989225816064-1557834733679804416,196.095,3.8467072857483506,4.248888888888814,,
1557834733679804416,1785110941000-642689989225816064-1557834733679804416,1785110941000,1785126425000,1,196.088,58.905,3.328885493591376,642689989225816064,1785110941000,1557834733679804416,MP09BQ8967,15484000,1785126425000,155.51010809633306,58.90534397588373,193.52500000000146,58.905343975883724,1785110941000-642689989225816064-1557834733679804416,196.088,3.328866054670351,3.912499999999909,,
1534933431186620416,1785136726000-642689989225816064-1534933431186620416,1785136726000,1785151775000,1,196.015,65.018,3.0147805223168964,642689989225816064,1785136726000,1534933431186620416,MP09BL8455,15049000,1785151775000,171.64865778502408,65.01843097917579,,65.01843097917579,1785136726000-642689989225816064-1534933431186620416,196.015,3.014760538635268,4.14333333333343,,
1326602092428656640,1785143269000-642689989225816064-1326602092428656640,1785143269000,1785159742000,1,195.965,70.449,2.7816576530539825,642689989225816064,1785143269000,1326602092428656640,MP09DT9054,16473000,1785159742000,185.9846570985588,70.44873374945409,194.44000000006054,70.44873374945409,1785143269000-642689989225816064-1326602092428656640,195.965,2.78166816591673,4.534722222222626,,
1326601811460620288,1785116690000-642689989225816064-1326601811460620288,1785116690000,1785132200000,1,195.878,60.021,3.2634911114443277,642689989225816064,1785116690000,1326601811460620288,MP09AE9054,15510000,1785132200000,158.45547928118572,60.02101487923701,193.95999999996275,60.187101155794004,1785116690000-642689989225816064-1326601811460620288,195.87799999997438,3.2634903024229636,3.820833333333212,,
1557834963942899712,1785147429000-642689989225816064-1557834963942899712,1785147429000,1785163012000,1,195.842,50.761,3.858119422391206,642689989225816064,1785147429000,1557834963942899712,MP09BQ8912,15583000,1785163012000,134.00921333490268,50.76106565716011,193.6949999999997,50.76106565716011,1785147429000-642689989225816064-1557834963942899712,195.842,3.858114432086898,4.279999999999973,,
1326601999923281920,1785125744000-642689989225816064-1326601999923281920,1785125744000,1785140281000,1,195.48,62.819,3.111797386141135,642689989225816064,1785125744000,1326601999923281920,MP09DZ9027,14537000,1785140281000,165.84297665797217,62.819309340140975,194.48000000003958,62.819309340140975,1785125744000-642689989225816064-1326601999923281920,195.48,3.1117820627660104,4.007222222220662,,
1326601836949405696,1785122214000-642689989225816064-1326601836949405696,1785122214000,1785136724000,1,195.089,63.321,3.080952606560225,642689989225816064,1785122214000,1326601836949405696,MP09DY9036,14510000,1785136724000,167.16747161061622,63.32101197371826,195.19999999995343,63.32101197371825,1785122214000-642689989225816064-1326601836949405696,195.089,3.0809520239659594,3.998888888889269,,
739902048702562304,1785183009000-642689989225816064-739902048702562304,1785183009000,1785196866000,1,195.058,48.643,4.009991160084699,642689989225816064,1785183009000,739902048702562304,MP13P9072,13857000,1785196866000,128.41693931578365,48.64278004385744,196.25,43.15424733597822,1785183009000-642689989225816064-739902048702562304,195.058,4.010009292728155,3.7999999999992724,,
