vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,carbon_emission
1186996414987632640,1773430149000-649034868264558592-1186996414987632640,1773430149000,1773461164000,2,441.764,151.25300000000001,2.9206957878521416,649034868264558592,1773430149000,1186996414987632640,MP09ZS0009,31015000,1773461164000,441.801,7.404722222222517,151.25780555570267,2.920847610983626,443.4399999999441,151.25780555570267,1773430149000-649034868264558592-1186996414987632640,
1066488845387694080,1773487778000-649034868264558592-1066488845387694080,1773487778000,1773524051000,2,441.42,154.736,2.8527298107744805,649034868264558592,1773487778000,1066488845387694080,MP09PA3330,36273000,1773524051000,441.439,10.041111111111604,154.8098129138545,2.851492367900756,437.28000000002794,154.8098129138545,1773487778000-649034868264558592-1066488845387694080,
1151974728106246144,1773507653000-649034868264558592-1151974728106246144,1773507653000,1773543112000,2,438.95000000000005,152.499,2.8783795303575763,649034868264558592,1773507653000,1151974728106246144,MP09ZG9990,35459000,1773543112000,438.956,9.299999999999272,152.41599999999744,2.879986353138827,467.33500000007916,152.41599999999744,1773507653000-649034868264558592-1151974728106246144,
1146410298802962432,1773512257000-649034868264558592-1146410298802962432,1773512257000,1773545526000,1,438.065,162.289,2.6992895390322205,649034868264558592,1773512257000,1146410298802962432,MP09ZD9990,33269000,1773545526000,438.065,9.100000000000364,162.28924191964927,2.6992855152831976,468.2299999999814,162.28924191964927,1773512257000-649034868264558592-1146410298802962432,
1192134868188790784,1773434275000-649034868264558592-1192134868188790784,1773434275000,1773473526000,3,427.59499999999997,135.05700000000002,3.1660336006278826,649034868264558592,1773434275000,1192134868188790784,MP09ZU9990,39251000,1773473526000,427.67799999993946,10.450000000000273,134.32256903156298,3.1839623310022023,452.5100000000093,134.43062458484349,1773434275000-649034868264558592-1192134868188790784,
1192134642870779904,1773512782000-649034868264558592-1192134642870779904,1773512782000,1773539341000,2,411.588,113.90799999999999,3.6133370790462482,649034868264558592,1773512782000,1192134642870779904,MP09ZU0099,26559000,1773539341000,411.596,7.349999999998545,113.88942262683412,3.6139967216149675,439.14000000001397,113.88942262683412,1773512782000-649034868264558592-1192134642870779904,
1476550907393998848,1773511766000-649034868264558592-1476550907393998848,1773511766000,1773533697000,1,396.528,109.972,3.605717819081221,649034868264558592,1773511766000,1476550907393998848,MP09DP0666,21931000,1773533697000,396.528,6.0433333333330665,109.97200784514169,3.6057175618578805,394.5899999999965,109.97200784514169,1773511766000-649034868264558592-1476550907393998848,
1334832669606805504,1773447269000-649034868264558592-1334832669606805504,1773447269000,1773481344000,2,392.578,150.87,2.6020945184596007,649034868264558592,1773447269000,1334832669606805504,MP09AH9990,34075000,1773481344000,392.609,9.433611111110622,150.98589331823527,2.6003025274188496,384.20000000001164,150.98589331823527,1773447269000-649034868264558592-1334832669606805504,
1494312366358134784,1773488717000-649034868264558592-1494312366358134784,1773488717000,1773519891000,3,378.827,135.297,2.7999660007243325,649034868264558592,1773488717000,1494312366358134784,MP09AX9990,31174000,1773519891000,378.849,8.62138888888876,134.94641211358382,2.8074032800599724,375.8399999999965,134.94641211358382,1773488717000-649034868264558592-1494312366358134784,
1268894095296692224,1773512976000-649034868264558592-1268894095296692224,1773512976000,1773533311000,2,334.413,113.746,2.939997890035694,649034868264558592,1773512976000,1268894095296692224,MP09DF0999,20335000,1773533311000,334.42,5.611944444442997,113.75861070873096,2.9397335104263305,329.8399999999674,113.75861070873096,1773512976000-649034868264558592-1268894095296692224,
